PrimeVarClass,am,revel,cadd,label,meta_oof
0.4811769756454718,0.1382,0.606,2.791559,0,0.11170507240828938
0.9342762160811467,0.9712,0.831,4.485835,1,0.9615351164800321
0.7986590339689141,0.6958,0.793,4.26299,1,0.8562641294763979
0.4566041458566027,0.2244,0.643,4.314555,0,0.23873573083831576
0.1115906401003491,0.1351,0.563,2.447749,0,0.037575007504129586
0.2579845934242618,0.08,0.341,3.001126,0,0.03722706200310305
0.1571612622310048,0.0636,0.325,0.974345,0,0.016779601515062186
0.1262255342011815,0.0703,0.415,-0.799956,0,0.010885273192687521
0.267703124453917,0.6827,0.735,4.58859,0,0.5698261364278981
0.4839074599160028,0.1184,0.527,2.263087,0,0.0715219259347232
0.4866537036555687,0.0904,0.291,0.916595,0,0.03477904208193577
0.4410905636710569,0.127,0.806,4.80964,1,0.13587215503220768
0.4377572303377236,0.1032,0.545,0.220549,0,0.04681312776084039
0.7319885605046776,0.7345,0.785,5.19884,1,0.8173556949351493
0.8778714622421023,0.8237,0.817,5.725404,1,0.9549138575175407
0.3656593432521177,0.1433,0.474,3.823035,0,0.059183093284205804
0.364756541404633,0.1842,0.683,4.061677,0,0.18485019516200765
0.7555868478364117,0.9699,0.719,3.87245,1,0.8879692086111075
0.254821669812074,0.0797,0.57,0.428135,0,0.03824161809232027
0.1650342790844729,0.0634,0.55,-1.108557,0,0.00902938432875357
0.191615403558941,0.1042,0.658,2.135432,0,0.04958614096162288
0.4415106268373927,0.2943,0.601,3.009887,0,0.18124155129315087
0.0689946856810356,0.0801,0.519,2.363521,0,0.024295269771270517
0.0597238225427946,0.1339,0.765,6.609515,1,0.1558103568631024
0.278980272280947,0.0849,0.619,3.572233,0,0.0802027879075992
0.0597238225427946,0.2525,0.636,4.138839,0,0.10592424466533225
0.1707604272088918,0.0882,0.407,2.388132,0,0.031218905252056135
0.0557409346125258,0.0907,0.479,1.698188,0,0.023682565081794216
0.3917696593334144,0.107,0.369,2.314271,0,0.037143611769202105
0.6159333898474715,0.4904,0.518,4.015836,0,0.5038518748331001
0.8948402124640364,0.9845,0.863,4.420812,1,0.9474716633725551
0.5682962979230329,0.9435,0.738,4.60424,1,0.8546947040297295
0.89279881738217,0.7912,0.835,3.272588,1,0.8941410392593455
0.8959422751750683,0.9249,0.856,4.154595,1,0.9310289246794908
0.3458831059011211,0.328,0.691,3.061164,0,0.21592356450852987
0.0779306354424054,0.1854,0.657,4.289479,0,0.10597925497167357
0.2964737148582215,0.092,0.349,-0.947923,0,0.016006592082863924
0.1687202507739415,0.0985,0.316,1.250033,0,0.02171232342371443
0.2206649677855159,0.0883,0.389,3.245445,0,0.0355833595571757
0.7378081485224124,0.5629,0.846,4.167969,1,0.7574152563175992
0.5302961926194537,0.9545,0.812,4.66822,1,0.8845347175399645
0.0459488106249368,0.0737,0.6,0.040361,0,0.012656714007467207
0.7560591883587143,0.9824,0.964,4.490848,1,0.9537114875600032
0.7289050539945936,0.9779,0.865,4.830301,1,0.9420545441441183
0.8436319975397983,0.9849,0.957,4.774709,1,0.9652570337172244
0.0515309711432183,0.0797,0.441,-1.0636,0,0.005443995974947502
0.0115147749313398,0.082,0.42,-0.230411,0,0.006452189056702441
0.0012557679346276,0.0704,0.552,1.480621,0,0.020766337949250084
0.0012557679346276,0.0883,0.382,-0.250847,0,0.005938686237856509
0.8008313004545481,0.9315,0.771,4.896108,1,0.9278185202898552
0.043039063615537,0.0858,0.548,0.805002,0,0.014372911605033073
0.0129334625416812,0.0937,0.34,-0.043434,0,0.013664577438628112
0.109476583039163,0.1809,0.554,2.053966,0,0.04388100232398093
0.6499161878984239,0.2781,0.569,2.149596,0,0.18297301670197788
0.9685966106348188,0.9211,0.676,4.871541,1,0.9516204508160054
0.7512954124558073,0.9398,0.674,3.820661,1,0.8949221376594321
0.9736930112266352,0.9609,0.731,4.16515,1,0.9539864287655143
0.383106463946781,0.2129,0.692,3.414596,0,0.12725222899485467
0.8147939324520489,0.9757,0.793,4.737236,1,0.9555816200794168
0.0060670526650434,0.0782,0.555,0.748422,0,0.021227031463972788
0.5359890651582522,0.1159,0.521,1.575156,0,0.07751283184306686
0.5542237415384027,0.8768,0.871,4.253893,1,0.8898395208262706
0.7915998600810313,0.9276,0.846,4.930621,1,0.9399808015337613
0.843334388027383,0.9848,0.872,4.396312,1,0.9547262036886723
0.0502248019963178,0.0892,0.338,2.752125,0,0.016288589389881664
0.0044621319126382,0.5361,0.856,3.799163,0,0.2752054278267345
0.0502248019963178,0.1069,0.361,0.61327,0,0.014148789692589028
0.0868227262271438,0.1177,0.564,2.028703,0,0.03650642025254969
0.0550348588986011,0.1163,0.571,2.130503,0,0.02974712128833094
0.2584980120425022,0.0905,0.509,3.016362,0,0.06531009276554872
0.6530338341638534,0.9779,0.844,4.435054,1,0.9244549388698479
0.0530975372069705,0.1024,0.452,1.242323,0,0.0211850026525023
0.0019381579962593,0.0854,0.515,-0.352458,0,0.01109514991255711
0.7215510534384887,0.9811,0.837,4.408638,1,0.9346570266722688
0.5364741816260206,0.9812,0.847,4.895332,1,0.9071548485772443
0.0688843273098273,0.0744,0.407,1.729303,0,0.014216033162935819
0.0530975372069705,0.0901,0.568,1.953137,0,0.02689976532095404
0.0556215111233495,0.1193,0.399,3.391619,0,0.02945914036921995
0.0698685178317056,0.1328,0.429,2.232528,0,0.024819485873986386
0.0702785062728785,0.0782,0.412,0.38412,0,0.008988276067416067
