score_cutoff,path_local_lr,benign_local_lr
0.01,1.0598767152990738,4.916919959473151
0.015,1.1050162687615557,7.5891590678824725
0.02,1.1419798411321007,9.620060790273556
0.025,1.1715536594386768,8.57788753799392
0.03,1.2120897791290353,8.209118541033435
0.035,1.2695802034355506,9.748328267477204
0.04,1.3100186465698083,9.085612968591693
0.045,1.3469194312796209,7.535714285714285
0.05,1.381433441423464,7.197230665315772
0.055,1.4316673847479535,7.767308341776427
0.06,1.468376804869696,8.159236744343126
0.065,1.4783376553697576,7.503647416413375
0.07,1.5631300894682723,8.241185410334348
0.075,1.6451841624062395,8.882522796352584
0.08,1.6631911532385466,8.249930920143687
0.085,1.6863538017720998,7.7494934143870315
0.09,1.7295790354056317,7.424713584288052
0.095,1.7743095277006047,7.646714987140519
0.1,1.8268038924254746,7.893383212532149
0.105,1.8654372073710286,8.066050970306291
0.11,1.925834583785229,7.7647633521493695
0.115,1.9753737370658782,7.948002605297437
0.12,2.0142335482868465,8.085432045158488
0.125,2.071941521407342,7.760182370820669
0.13,2.1041670083143376,7.395421732522796
0.135,2.156398104265403,7.535714285714285
0.14,2.207977306534749,7.243339889147148
0.145,2.2541846388696594,6.965636609253631
0.15,2.2884688158866884,7.036896318811212
0.155,2.397877683578482,7.250675447483958
0.16,2.433938273032019,6.953447448408255
0.165,2.443872714962762,6.970324748040313
0.17,2.4538885867453963,6.987202047672373
0.175,2.5370712507028674,7.1222204447288435
0.18,2.5896970945806714,6.862310030395138
0.185,2.612413735761204,6.8943768996960495
0.19,2.6217338422178416,6.596613113330438
0.195,2.6790607496768635,6.384222160817906
0.2,2.6893343188834296,6.134531518435311
0.205,2.7524642324722426,6.204242103872076
0.21,2.762085308056872,5.746382978723404
0.215,2.812749744447542,5.391984689857031
0.22,2.8677510776631974,5.256676074685193
0.225,2.8798239675016926,4.938297872340426
0.23,2.894592295540163,4.948986828774062
0.235,2.9707657770017457,5.002431610942249
0.24,3.017887173215105,4.882439454848515
0.245,3.101254222198947,4.9341602117854695
0.25,3.208612990713092,4.712858063921893
0.255,3.1905870750349283,4.574244591453603
0.26,3.2107462351720457,4.238026780579972
0.265,3.2696826080712333,4.160254359302511
0.27,3.309801413078243,4.17713165893457
0.275,3.3750674905513227,4.008358662613983
0.28,3.4877775006235967,3.9575209429905844
0.285,3.5342812006319115,3.9731633182593225
0.29,3.5820417573972074,3.98880569352806
0.295,3.7072879726908163,4.0279116316999035
0.3,3.7156398104265405,3.855481727574751
0.305,3.74218009478673,3.8629391390400794
0.31,3.8241256443076073,3.8853113734360645
0.315,3.9391369418807685,3.9151410192973777
0.32,4.012932142988354,3.7696386355960825
0.325,4.124445803393977,3.6433421716355174
0.33,4.226704790254984,3.6638103860829077
0.335,4.261927330173776,3.6706331242320376
0.34,4.245330359632004,3.527355623100304
0.345,4.365876777251184,3.482462006079027
0.35,4.404173941963915,3.4888753799392096
0.355,4.376818824311965,3.4204660587639313
0.36,4.495111224969044,3.4393289230585853
0.365,4.591100579252238,3.391688099134908
0.37,4.722274881516587,3.41018821603928
0.375,4.813969539410113,3.4225216273088614
0.38,5.00847335918426,3.4471884498480243
0.385,5.111740851126203,3.459521861117606
0.39,5.321759736245622,3.3610829674659466
0.395,5.563657906074968,3.3848362039851403
0.4,5.723334262614999,3.3407847471677257
0.405,6.005968053361418,3.364106106659298
0.41,6.003080568720379,3.251693062443342
0.415,6.196467040068936,3.212215700660308
0.42,6.4932805297669285,3.179511617124311
0.425,6.6322675388825845,3.137208713272543
0.43,6.7270142180094785,3.1425531914893616
0.435,6.637914691943128,3.0411805078929306
0.44,6.833147477000279,3.051524659280322
0.445,7.040212552060893,3.0618688106677125
0.45,7.1005468465184105,3.0183576976890047
0.455,7.444121693930592,3.0336276354513436
0.46,7.640284360189574,2.9962481003039514
0.465,7.640284360189574,2.9962481003039514
0.47,7.640284360189574,2.9962481003039514
0.475,7.903742441575421,3.006268996960486
0.48,7.903742441575421,3.006268996960486
0.485,8.186018957345972,3.016289893617021
0.49,8.373705459013516,2.934604402689509
0.495,8.315955766192733,2.890804336977725
0.5,8.472860591969955,2.895590436873384
0.505,8.74398290121736,2.8624396567137493
0.51,8.918862559241706,2.867155372787413
0.515,8.918862559241706,2.867155372787413
0.52,9.421800947867299,2.839544513457557
0.525,10.225724677614902,2.8173035171515415
0.53,10.394944707740917,2.7821396463889725
0.535,10.320695102685626,2.743498817966903
0.54,10.572419373482834,2.7479525498142516
0.545,11.325018707907208,2.7234875296664858
0.55,11.86756187467088,2.6953503655631317
0.555,12.56565374965152,2.7040170869958104
0.56,13.253554502369669,2.676514690982776
0.565,13.156101895734595,2.641297392417213
0.57,13.058649289099526,2.606994828879327
0.575,14.409544043144304,2.6194884143212414
0.58,14.302010132374571,2.585905229522251
0.585,15.245918904686679,2.561290446693086
0.59,15.13041951904511,2.5292743161094227
0.595,15.014920133403548,2.4980487072685653
0.6,15.841895734597157,2.416467650890143
0.605,16.11216429699842,2.3368270272158753
0.61,16.81269317947661,2.3405128742619574
0.615,16.405934473521533,2.2624957784532254
0.62,17.009909521757862,2.2411570192725208
0.625,16.868160275743218,2.2167966168891238
0.63,16.584661783713916,2.1696307314233976
0.635,16.928909952606638,2.105834612853696
0.64,16.780410742496052,2.0843465045592704
0.645,16.3349131121643,2.0224352222456288
0.65,16.9957345971564,2.005751236664879
0.655,16.683886255924172,1.9671790974982466
0.66,17.23372412072836,1.9330876871021392
0.665,17.23372412072836,1.9330876871021392
0.67,17.844655081621905,1.9002589215355175
0.675,18.71090047393365,1.885767268062798
0.68,21.20568720379147,1.8916510972923233
0.685,20.581990521327015,1.840981871471993
0.69,25.20774091627172,1.8171225937183384
0.695,25.20774091627172,1.8171225937183384
0.7,24.9478672985782,1.8013215276860053
0.705,24.687993680884677,1.785792893826643
0.71,24.428120063191155,1.7705297066999197
0.715,26.648858250753985,1.7732704647598265
0.72,26.36535975872469,1.7582427489567771
0.725,31.18483412322275,1.7199502625034537
0.73,35.08293838862559,1.7226004169911326
0.735,34.30331753554502,1.694590654113228
0.74,32.74407582938389,1.64121772012541
0.745,32.3542654028436,1.62839570668693
0.75,32.3542654028436,1.62839570668693
0.755,32.3542654028436,1.62839570668693
0.76,32.3542654028436,1.62839570668693
0.765,31.96445497630332,1.6157724841544734
0.77,31.184834123222746,1.5911042019536417
0.775,35.19431279620853,1.5814796905222437
0.78,49.27203791469194,1.586338307082988
0.785,48.02464454976303,1.5626616159324955
0.79,46.77725118483412,1.5396812980511354
0.795,46.77725118483412,1.5396812980511354
0.8,44.90616113744076,1.506450766438521
0.805,44.2824644549763,1.495690403821103
0.81,55.35308056872037,1.497980894485454
0.815,53.79383886255924,1.4768825720279124
0.82,52.2345971563981,1.45637031408308
0.825,51.45497630331754,1.446326380882507
0.83,51.45497630331754,1.446326380882507
0.835,67.56714060031597,1.4386163967189907
0.84,64.44865718799367,1.4096509659125682
0.845,63.40916271721959,1.4002532928064841
0.85,62.3696682464455,1.3909800921918718
0.855,62.3696682464455,1.3909800921918718
0.86,93.55450236966824,1.393103725920409
0.865,87.3175355450237,1.3571526620256888
0.87,87.3175355450237,1.3571526620256888
0.875,85.75829383886257,1.348452965474242
0.88,85.75829383886257,1.348452965474242
0.885,82.63981042654028,1.3313839405948213
0.89,81.08056872037915,1.3230104566917091
0.895,79.521327014218,1.3147416413373862
0.9,74.8436018957346,1.2905439424170662
0.905,73.28436018957346,1.2826747720364742
0.91,70.16587677725119,1.267220859120372
0.915,67.04739336492891,1.2521348965117962
0.92,63.92890995260664,1.2374038977293045
0.925,57.69194312796209,1.208957831114838
0.93,49.895734597156405,1.1751880592959876
0.935,48.33649289099526,1.1686592367443431
0.94,90.43601895734598,1.1575787434450047
0.945,90.43601895734598,1.1575787434450047
0.95,81.08056872037915,1.1388071962540047
0.955,56.13270142180095,1.091602752885963
0.96,53.014218009478675,1.085975934572118
0.965,49.895734597156405,1.0804068272153378
0.97,46.77725118483412,1.0748945474846472
0.975,43.65876777251185,1.0694382299847252
0.98,40.540284360189574,1.0640370268029842
0.985,inf,1.0445544554455446
0.99,inf,1.0144230769230769
